id,nom,definition,exemple,categorie
153,"Sophisme de l'antécédent","Un terme général pour tout sophisme qui implique une erreur de raisonnement à partir de l'antécédent (la partie 'si') d'une déclaration conditionnelle. Comprend la négation de l'antécédent.","''Si j'ai la grippe, j'ai mal à la gorge. Je n'ai pas la grippe. Par conséquent, je n'ai pas mal à la gorge.' (Un rhume pourrait aussi causer un mal de gorge).'","formel"
154,"Sophisme du gris","L'hypothèse que parce qu'il n'y a pas de ligne claire entre deux extrêmes, il n'y a aucune différence entre eux.","''On ne peut pas dire exactement quand une personne devient 'vieille'. Par conséquent, il n'y a pas de différence entre avoir 20 et 80 ans.''","conditionnel"
155,"Sophisme de l'historien","Supposer que les décideurs du passé ont vu les événements de la même perspective et disposaient des mêmes informations que ceux qui ont analysé la décision par la suite.","''Les généraux de la Première Guerre mondiale auraient dû savoir que la guerre des tranchées mènerait à une impasse ; c'était évident.' Cela ignore les théories militaires contemporaines qui ont guidé leurs décisions.'","pertinence"
156,"Comparaison incomplète","Un sophisme où une comparaison est faite, mais la base de la comparaison n'est pas spécifiée, laissant la déclaration vague et dénuée de sens.","''Notre nouveau dentifrice est 20 % meilleur !' Meilleur que quoi ? L'ancienne formule ? Un concurrent ? Rien ?'","conditionnel"
157,"Comparaison incohérente","Un sophisme où différents critères sont utilisés pour la comparaison dans différentes parties d'un argument.","''Le produit A est moins cher que le produit B, et le produit C a plus de fonctionnalités que le produit A. Par conséquent, le produit C est le meilleur rapport qualité-prix.' Les critères (prix, fonctionnalités) ne sont pas appliqués de manière cohérente.'","conditionnel"
158,"Sauter aux conclusions","Un terme général pour tout argument où la conclusion est atteinte sans preuves suffisantes. La généralisation hâtive en est un type spécifique.","''Je l'ai vu regarder sa montre deux fois pendant la réunion. Il doit s'ennuyer et vouloir partir.''","conditionnel"
159,"Pari de Loki","L'insistance déraisonnable sur le fait qu'un concept ne peut être défini, et ne peut donc pas être discuté.","''Vous ne pouvez pas définir la 'justice', donc vous ne pouvez pas dire que mes actions étaient injustes.''","pertinence"
160,"Sophisme de la projection mentale","Le sophisme de supposer que la façon dont on voit le monde reflète la façon dont le monde est réellement.","''Je ne peux pas imaginer comment une particule quantique peut être à deux endroits à la fois, donc ça doit être impossible.''","pertinence"
161,"Sophisme moralisateur","L'hypothèse que parce que quelque chose est moralement mauvais, cela ne peut pas être une partie naturelle du comportement humain.","''La guerre est moralement répréhensible, par conséquent les humains ne peuvent pas avoir de tendances agressives innées.''","pertinence"
162,"Déplacement des poteaux de but","Exiger d'un adversaire qu'il aborde de plus en plus de points après que le contre-argument initial a été satisfait, en refusant de concéder ou d'accepter l'argument de l'adversaire.","''D'abord, vous avez dit que j'avais besoin d'un diplôme. Maintenant que j'en ai un, vous dites que j'ai besoin de cinq ans d'expérience. Si j'obtiens cela, vous direz que j'ai besoin d'une promotion.''","pertinence"
163,"Exception écrasante","Une généralisation qui est techniquement exacte, mais qui a tellement d'exceptions qu'elle est pratiquement dénuée de sens.","''Notre politique est d'être toujours à l'heure... sauf le lundi, ou s'il y a du trafic, ou si je suis fatigué, ou s'il pleut.''","conditionnel"
164,"Faire la fine bouche","Rejeter un argument comme étant indigne de considération, sans fournir de preuves ou de raisonnement.","''Votre proposition de changer la stratégie de notre entreprise est tout simplement stupide. Nous n'allons même pas en discuter.''","pertinence"
165,"Prouver trop","Un argument qui, s'il était poussé à sa conclusion logique, prouverait quelque chose que l'argumentateur ne voudrait pas accepter.","''Toutes les formes de vie sont sacrées et ne devraient jamais être blessées. Par conséquent, vous ne devriez pas utiliser d'antibiotiques pour tuer les bactéries.''","conditionnel"
166,"Réduction à l'absurde (sous forme fallacieuse)","Un sophisme qui tente de réfuter une affirmation en l'étendant à une conclusion ridicule ou absurde, où l'extension n'est pas logiquement justifiée.","''Si nous autorisons le mariage homosexuel, alors bientôt les gens voudront épouser leurs animaux de compagnie !''","conditionnel"
167,"Déterminisme rétrospectif","Le sophisme selon lequel, parce qu'un événement s'est produit, il était inévitable et devait se produire.","''Bien sûr que l'Empire romain est tombé. Avec sa corruption interne et ses pressions externes, c'était inévitable.' Cela ignore qu'à l'époque, d'autres résultats étaient possibles.'","pertinence"
168,"Argumentation à la chevrotine","La tactique de présenter un grand nombre d'arguments, en espérant que certains d'entre eux resteront, sans se soucier de leur qualité ou de leur exactitude. Similaire au Gish Gallop.","'Dans un débat sur une nouvelle politique, un politicien énumère cinquante raisons différentes pour lesquelles elle est mauvaise, sans en développer aucune, ce qui rend impossible de les réfuter toutes.'","pertinence"
169,"Pente glissante","Soutenir qu'un seul petit pas conduira inévitablement à une chaîne d'événements connexes aboutissant à un effet significatif (généralement négatif), sans preuves suffisantes.","''Si nous légalisons la marijuana, alors tout le monde commencera à consommer des drogues plus dures, et les taux de criminalité monteront en flèche.''","conditionnel"
170,"Plaidoyer spécial","Appliquer des normes, des principes ou des règles à d'autres personnes ou circonstances, tout en s'exemptant ou en exemptant ses propres circonstances des mêmes règles sans fournir de justification adéquate.","''Oui, je crois en la liberté d'expression pour tous, mais les opinions de mon adversaire sont si dangereuses qu'elles ne devraient pas être autorisées sur ce campus.''","conditionnel"
171,"Sophisme spirituel","Le sophisme d'utiliser des croyances spirituelles ou religieuses pour justifier une conclusion dans un argument laïc ou logique.","''Mon entreprise réussira parce que Dieu est de mon côté.''","pertinence"
172,"Corrélatif supprimé","Le sophisme de tenter de redéfinir un corrélatif (l'une des deux options mutuellement exclusives) de sorte qu'une alternative n'est plus possible.","''Je ne suis ni 'bon' ni 'mauvais'. Je suis juste moi.' Cela tente de supprimer le concept de jugement moral.'","conditionnel"
173,"Tokenisme","Interpréter un petit geste symbolique comme un substitut adéquat à une action plus significative.","''Nous ne pouvons pas être une entreprise sexiste. Nous avons embauché une femme l'année dernière.''","pertinence"
174,"Deux torts ne font pas un droit","Justifier une mauvaise action en pointant du doigt une autre mauvaise action.","''Il a peut-être menti au Congrès, mais son prédécesseur a fait la même chose.''","pertinence"
175,"Infalsifiabilité (Intestabilité)","Une affirmation qui ne peut être prouvée fausse, car il n'y a aucun moyen de la tester.","''Il y a un dragon invisible et indétectable dans mon garage. Vous ne pouvez pas prouver qu'il n'est pas là !''","conditionnel"
176,"Victoire par définition","Un sophisme dans lequel un argumentateur redéfinit un terme d'une manière qui fait réussir son argument par définition, mais pas d'une manière qui soit pertinente pour le point initial.","''Je ne suis pas un 'menteur'. Un 'menteur' est quelqu'un qui dit des contrevérités pour blesser les gens, et j'essayais juste de ménager vos sentiments.''","formel"
