id,name,definition,beispiel,kategorie
122,"Stil-über-Substanz-Trugschluss","Dieser Trugschluss tritt auf, wenn die Art der Präsentation eines Argumentierenden (z. B. sein Charisma oder seine Zuversicht) als wichtiger beurteilt wird als der Inhalt, die Logik oder die Beweise seines Arguments.","'Die Rede des Kandidaten war so kraftvoll und inspirierend; er muss Recht haben mit der Wirtschaft.' Der Zuhörer wird von der eloquenten Darbietung überzeugt, anstatt den Plan kritisch zu analysieren.","relevanz"
123,"Ton-Polizei","Ein Trugschluss, der sich auf die Emotion oder den Ton einer Nachricht konzentriert, anstatt auf die Substanz der Nachricht, um das Argument abzutun oder die Diskussion zu entgleisen.","'Nachdem eine Person leidenschaftlich gegen eine soziale Ungerechtigkeit argumentiert, antwortet ein Zuhörer: 'Ich kann Ihr Argument nicht ernst nehmen, wenn Sie so wütend sind. Sie müssen sich beruhigen.''","relevanz"
124,"Gewollte Unwissenheit","Die Tendenz, Informationen zu vermeiden oder zu ignorieren, die unangenehm sein oder den eigenen bestehenden Überzeugungen widersprechen könnten. Es ist eine bewusste Entscheidung, uninformiert zu bleiben, um einen geschätzten Standpunkt zu schützen.","'Eine Person weigert sich, wissenschaftliche Berichte über die Gesundheitsrisiken ihres Lieblingsessens zu lesen und sagt: 'Ich will es nicht wissen, ich will es nur genießen.''","relevanz"
125,"Appell an die Konsequenzen","Argumentieren, dass ein Vorschlag wahr oder falsch sein muss, weil die Konsequenzen, wenn er wahr oder falsch wäre, wünschenswert oder unerwünscht sind. Die Konsequenzen einer Überzeugung haben keinen Einfluss auf ihre Wahrhaftigkeit.","'Ein Universum, das von einem liebenden Gott geschaffen wurde, ist ein viel tröstlicherer Gedanke als eines, das aus dem Zufall entstand. Daher muss Gott existieren.'","relevanz"
126,"Appell an den gesunden Menschenverstand","Behaupten, dass eine Schlussfolgerung wahr ist, weil sie 'gesunder Menschenverstand' ist. Dies ist trügerisch, weil viele Dinge, die einst als gesunder Menschenverstand galten (z. B. die Erde ist flach), als falsch erwiesen wurden.","'Es ist einfach gesunder Menschenverstand, dass man das Kind verdirbt, wenn man die Rute schont.' Dies vermeidet es, tatsächliche Beweise für die Wirksamkeit der körperlichen Züchtigung zu liefern.","relevanz"
127,"Bulverismus","Geprägt von C.S. Lewis, besteht dieser Trugschluss darin, anzunehmen, das Argument eines Gegners sei aufgrund seines psychologischen Motivs oder seiner Identität ungültig, und dann dieses Motiv zu erklären, ohne das Argument selbst jemals zu widerlegen.","'Sie glauben nur an dieses moralische Prinzip, weil Sie in einem religiösen Haushalt aufgewachsen sind. Ich kann erklären, warum Ihre Erziehung Sie zu dieser Ansicht geführt hat...' Dies verwirft das Prinzip, indem es seinen angeblichen Ursprung erklärt.","relevanz"
128,"Trugschluss der relativen Entbehrung (Nicht so schlimm wie)","Ein Argument oder eine Beschwerde aufgrund der Existenz wichtigerer Probleme in der Welt abzutun, unabhängig davon, ob diese Probleme für die aktuelle Diskussion relevant sind.","'Person A: 'Ich bin verärgert, dass mein Flug verspätet war.' Person B: 'Sie sollten sich nicht beschweren, es gibt hungernde Menschen auf der Welt.' Die Existenz hungernder Menschen entkräftet nicht die Frustration.'","relevanz"
129,"Beweis durch Behauptung","Ein logischer Trugschluss, bei dem ein Vorschlag ungeachtet des Widerspruchs wiederholt wird. Er kann manchmal als rhetorische Taktik verwendet werden, um einen Punkt durch schiere Wiederholung zu verstärken.","'In einer Diskussion sagt eine Person immer wieder: 'Dies ist der beste Plan. Es ist einfach der beste Plan. Kein anderer Plan ist besser.' Sie liefert keine Beweise, nur wiederholte Behauptungen.'","relevanz"
130,"Appell an die Unbequemlichkeit","Die Behauptung, dass ein Argument falsch sein muss, weil seine Annahme schwierig, unbequem oder mit erheblichem Aufwand verbunden wäre. Die Bequemlichkeit einer Überzeugung bestimmt nicht ihre Wahrheit.","'An den Klimawandel zu glauben würde bedeuten, dass ich meinen Lebensstil ändern muss. Das ist zu viel Mühe, also glaube ich nicht, dass er real ist.'","relevanz"
131,"Argument durch Kauderwelsch (Verwirrung)","Ein Trugschluss, der die Verwendung übermäßig komplexer, obskurer oder technisch klingender Sprache (Jargon) beinhaltet, um den Eindruck von Intelligenz zu erwecken und einen Gegner einzuschüchtern oder zu verwirren, damit er eine Schlussfolgerung akzeptiert.","'Durch die Nutzung synergistischer Paradigmen zur Hebelung unserer Kernkompetenzen können wir einen Paradigmenwechsel in unserer operativen Matrix bewirken.' Die Aussage ist größtenteils bedeutungsloser Jargon.","relevanz"
132,"Moralischer-Hochmut-Trugschluss","Dieser Trugschluss tritt auf, wenn jemand annimmt, er habe in seinem Argument Recht, nur weil er glaubt, eine moralisch überlegene Position innezuhaben. Er verwendet selbst wahrgenommene Tugend als Ersatz für Beweise.","'Ich bin eine mitfühlende und fürsorgliche Person, im Gegensatz zu meinem Gegner. Daher ist mein Vorschlag für die Gesundheitsreform besser.' Der selbsternannte moralische Charakter des Sprechers ist irrelevant.","relevanz"
133,"Beweis durch Wortreichtum (Argumentum Verbosium)","Der Trugschluss, einen Gegner mit einer riesigen Menge an Informationen zu überwältigen, so dass er unmöglich auf alles antworten kann. Er ist mit dem Gish-Galopp verwandt.","'Als Antwort auf eine einfache Frage legt eine Person ein 500-seitiges Dokument voller Diagramme und Daten vor und behauptet dann, ihre Position sei bewiesen, weil der Gegner das gesamte Dokument unmöglich analysieren und widerlegen kann.'","relevanz"
134,"Appell an das Eigeninteresse","Dieser Trugschluss versucht, ein Publikum davon zu überzeugen, eine Schlussfolgerung zu akzeptieren, indem er an ihre persönlichen Interessen, Wünsche oder Vorteile appelliert, anstatt logische Beweise für die Schlussfolgerung selbst zu liefern.","'Sie sollten für diese Steuersenkung stimmen, weil sie mehr Geld direkt in Ihre Tasche bringt.' Dies geht nicht darauf ein, ob die Steuersenkung für die Wirtschaft insgesamt vorteilhaft ist.","relevanz"
135,"Appell an die Gewalt (Argumentum ad Baculum)","Dieser Trugschluss tritt auf, wenn ein Argumentierender versucht, nicht durch Argumentation, sondern durch Drohung oder Einschüchterung der anderen Person zu überzeugen. Es ist eine Drohung, explizit oder subtil, anstelle eines Arguments.","'Wenn Sie mit meinen politischen Ansichten nicht einverstanden sind, werden Sie Ihren Job in diesem Unternehmen verlieren.' Die Drohung, entlassen zu werden, ersetzt jedes logische Argument.","relevanz"
136,"Appell an das Motiv","Ein Trugschluss, bei dem ein Argument abgetan wird, indem das Motiv der Person, die es vorbringt, in Frage gestellt wird, anstatt auf die Substanz des Arguments selbst einzugehen. Es ist eine spezifische Art von Ad-hominem-Argument.","'Dieser Wissenschaftler argumentiert für strengere Umweltvorschriften. Er sucht wahrscheinlich nur nach mehr staatlichen Forschungsgeldern.' Dies greift das vermutete Motiv des Wissenschaftlers an.","relevanz"
137,"Homunkulus-Trugschluss","Ein Argument, das versucht, ein Phänomen durch das Phänomen selbst zu erklären, das es erklären soll, was zu einem unendlichen Regress führt.","'Um zu erklären, wie eine Person sehen kann, könnte man behaupten, es gäbe eine winzige Person (einen Homunkulus) im Gehirn, die einen Bildschirm beobachtet. Dies erklärt das Sehen nicht; es verlagert nur das Problem.'","kausal"
138,"If-by-Whiskey","Eine rhetorische Taktik, bei der ein Sprecher beide Seiten eines Themas zu unterstützen scheint, indem er emotional aufgeladene Sprache verwendet, die verschiedene Zielgruppen anspricht. Die tatsächliche Position des Sprechers bleibt unklar.","'Ein Politiker zu einer umstrittenen neuen Steuer: 'Wenn Sie mit 'Steuer' meinen, Geld von Familien zu nehmen, um verschwenderische Programme zu finanzieren, bin ich dagegen. Aber wenn Sie mit 'Steuer' eine Investition in bessere Schulen meinen, dann bin ich dafür.''","kausal"
139,"Überdeterminierung","Dies geschieht, wenn ein Ereignis mehrere hinreichende Ursachen hat, was bedeutet, dass jede einzelne von ihnen ausgereicht hätte, um die Wirkung hervorzurufen. Der Trugschluss besteht darin, eine Ursache als *die* Ursache herauszugreifen.","'Ein Mann wird gleichzeitig erschossen, erstochen und vergiftet, was alles tödlich gewesen wäre. Zu behaupten, er sei *wegen* des Schusses gestorben, ist eine Übervereinfachung.'","kausal"
140,"Pfadabhängigkeit","Die Idee, dass vergangene Entscheidungen und Ereignisse einen 'Pfad' schaffen, der zukünftige Entscheidungen einschränkt, auch wenn andere Optionen effizienter sein könnten. Der historische Pfad, nicht die aktuelle Optimalität, diktiert das Ergebnis.","'Das QWERTZ-Tastaturlayout wurde entwickelt, um Schreibkräfte an alten Schreibmaschinen zu verlangsamen. Obwohl es für moderne Computer ineffizient ist, bleibt es aufgrund der massiven Kosten für Umschulung bestehen.'","kausal"
141,"Näherungs- vs. Wurzelursachen-Trugschluss","Dieser Trugschluss verwechselt die unmittelbare oder nähere Ursache eines Ereignisses mit seiner fundamentalen oder Wurzelursache. Nur die nähere Ursache anzugehen, verhindert oft nicht, dass das Problem erneut auftritt.","'Die nähere Ursache des Hausbrandes war ein defektes Kabel. Die Wurzelursache war das Versäumnis der Stadt, die Bauvorschriften durchzusetzen, was eine solche fehlerhafte Verkabelung ermöglichte.'","kausal"
142,"Teleologischer Trugschluss","Dies ist die Annahme, dass Naturphänomene einen Zweck, ein Ziel oder einen Plan haben und dass sie handeln, um diesen Zweck zu erreichen. Er schreibt geistlosen, mechanistischen Prozessen Absicht zu.","'Der Zweck des Regens ist es, die Pflanzen zu wässern und die Flüsse zu füllen.' Dies weist einem meteorologischen Prozess ein Ziel zu, der tatsächlich von der Physik angetrieben wird, nicht von einem Bedürfnis, Pflanzen zu helfen.","kausal"
143,"Planungsfehlschluss (als Trugschluss)","Eine kognitive Voreingenommenheit, bei der man die Zeit und die Kosten zukünftiger Handlungen unterschätzt. Es wird zu einem Trugschluss, wenn es verwendet wird, um für einen unrealistischen Plan zu argumentieren.","''Diese Hausrenovierung wird nur zwei Wochen dauern und genau das kosten, was ich budgetiert habe.' Dies ist oft eine trügerische Vorhersage, die die hohe Wahrscheinlichkeit unvorhergesehener Verzögerungen ignoriert.'","kausal"
144,"Stereotypisierung (als Trugschluss)","Ein Trugschluss der Verallgemeinerung, bei dem eine Überzeugung über eine bestimmte Gruppe von Menschen auf jedes einzelne Mitglied dieser Gruppe angewendet wird, ohne individuelle Variationen zuzulassen.","'Er ist Programmierer, also muss er sozial unbeholfen und introvertiert sein.' Dies wendet ein gängiges Stereotyp auf eine Person an, ohne Kenntnis ihrer tatsächlichen Persönlichkeit.","kausal"
145,"Konjunktiv-Trugschluss","Dieser Trugschluss beinhaltet Behauptungen darüber, was passiert *wäre*, wenn eine andere Vorgehensweise gewählt worden wäre (ein kontrafaktischer Konjunktiv). Solche Behauptungen sind spekulativ und können nicht bewiesen werden.","''Wenn ich nur eine Stunde länger gelernt hätte, hätte ich die Prüfung bestanden.' Obwohl plausibel, ist es unmöglich zu beweisen; vielleicht war die Prüfung einfach zu schwer.'","kausal"
146,"Paket-Deal-Trugschluss","Der Fehler anzunehmen, dass Dinge, die traditionell zusammengefasst werden, immer zusammengefasst werden müssen.","''Mein Gegner ist für die Abtreibung und gegen Steuersenkungen, also muss er auch die Waffenkontrolle unterstützen.' Dies setzt ein Standard-'Paket' politischer Überzeugungen voraus.'","konditional"
147,"Nackte-Behauptung-Trugschluss","Dieser Trugschluss tritt auf, wenn eine Schlussfolgerung ohne unterstützende Beweise oder Begründung angeboten wird. Der Argumentierende erwartet, dass die Behauptung einfach deshalb akzeptiert wird, weil er sie geäußert hat.","'Während einer Debatte stellt ein Teilnehmer fest: 'So sind die Dinge nun mal', und liefert keine weitere Rechtfertigung für seine Position.'","konditional"
148,"Argument aus Faulheit","Der Trugschluss, eine Schlussfolgerung als richtig anzunehmen, weil der Argumentierende nicht bereit ist, sich die Mühe zu machen, die Gegenargumente zu recherchieren oder zu verstehen.","''Ich werde diesen langen Bericht über den Klimawandel nicht lesen. Er ist wahrscheinlich sowieso alles falsch.''","relevanz"
149,"Argument in die Zukunft","Der Trugschluss zu argumentieren, dass Beweise für eine Behauptung zu einem späteren Zeitpunkt enthüllt werden.","''Ich habe jetzt keinen Beweis für meine Theorie, aber die Wissenschaft wird mich irgendwann rechtfertigen.''","konditional"
150,"Chronologischer Snobismus","Das Argument, dass das Denken, die Kunst oder die Wissenschaft einer früheren Zeit von Natur aus minderwertig gegenüber der Gegenwart ist, einfach aufgrund ihrer zeitlichen Abfolge.","''Warum sollten Sie antike Philosophie lesen? Die moderne Wissenschaft hat all dieses altmodische Denken bereits widerlegt.''","relevanz"
151,"Design-Trugschluss","Die Annahme, dass, weil etwas gut gestaltet oder ästhetisch ansprechend ist, es gut oder effektiv sein muss.","''Diese neue App hat eine wunderschöne Benutzeroberfläche, also muss sie die beste für die Produktivität sein.''","relevanz"
152,"Trugschluss des Konsequens","Ein allgemeiner Begriff für jeden Trugschluss, der einen Fehler in der Argumentation aus dem Konsequens (dem 'dann'-Teil) einer bedingten Aussage beinhaltet. Beinhaltet die Bejahung des Konsequens.","''Wenn der Alarm ertönt, gibt es ein Feuer. Es gibt ein Feuer. Daher ertönt der Alarm.' (Das Feuer könnte still sein).'","formal"
153,"Trugschluss des Antezedens","Ein allgemeiner Begriff für jeden Trugschluss, der einen Fehler in der Argumentation aus dem Antezedens (dem 'wenn'-Teil) einer bedingten Aussage beinhaltet. Beinhaltet die Verneinung des Antezedens.","''Wenn ich die Grippe habe, habe ich Halsschmerzen. Ich habe nicht die Grippe. Daher habe ich keine Halsschmerzen.' (Eine Erkältung könnte auch Halsschmerzen verursachen).'","formal"
154,"Trugschluss des Graubereichs","Die Annahme, dass, weil es keine klare Grenze zwischen zwei Extremen gibt, es überhaupt keinen Unterschied zwischen ihnen gibt.","''Man kann nicht genau sagen, wann eine Person 'alt' wird. Daher gibt es keinen Unterschied zwischen 20 und 80 zu sein.''","konditional"
155,"Historiker-Trugschluss","Annehmen, dass Entscheidungsträger der Vergangenheit Ereignisse aus derselben Perspektive betrachteten und dieselben Informationen hatten wie diejenigen, die die Entscheidung nachträglich analysieren.","''Die Generäle im Ersten Weltkrieg hätten wissen müssen, dass der Grabenkrieg zu einem Patt führen würde; es war offensichtlich.' Dies ignoriert die zeitgenössischen Militärtheorien, die ihre Entscheidungen leiteten.'","relevanz"
156,"Unvollständiger Vergleich","Ein Trugschluss, bei dem ein Vergleich angestellt wird, aber die Grundlage des Vergleichs nicht spezifiziert ist, wodurch die Aussage vage und bedeutungslos bleibt.","''Unsere neue Zahnpasta ist 20% besser!' Besser als was? Die alte Formel? Ein Konkurrent? Nichts?'","konditional"
157,"Inkonsistenter Vergleich","Ein Trugschluss, bei dem in verschiedenen Teilen eines Arguments unterschiedliche Vergleichskriterien verwendet werden.","''Produkt A ist billiger als Produkt B, und Produkt C hat mehr Funktionen als Produkt A. Daher ist Produkt C das beste Preis-Leistungs-Verhältnis.' Die Kriterien (Preis, Funktionen) werden nicht konsistent angewendet.'","konditional"
158,"Voreilige Schlussfolgerung","Ein allgemeiner Begriff für jedes Argument, bei dem die Schlussfolgerung ohne ausreichende Beweise erreicht wird. Die voreilige Verallgemeinerung ist ein spezifischer Typ.","''Ich sah ihn während des Meetings zweimal auf seine Uhr schauen. Er muss gelangweilt sein und gehen wollen.''","konditional"
159,"Lokis Wette","Die unvernünftige Beharrlichkeit, dass ein Konzept nicht definiert werden kann und daher nicht diskutiert werden kann.","''Sie können 'Gerechtigkeit' nicht definieren, also können Sie nicht sagen, meine Handlungen seien ungerecht.''","relevanz"
160,"Geist-Projektions-Trugschluss","Der Trugschluss anzunehmen, dass die Art und Weise, wie man die Welt sieht, die Art und Weise widerspiegelt, wie die Welt wirklich ist.","''Ich kann mir nicht vorstellen, wie ein Quantenteilchen an zwei Orten gleichzeitig sein kann, also muss es unmöglich sein.''","relevanz"
161,"Moralistischer Trugschluss","Die Annahme, dass, weil etwas moralisch falsch ist, es kein natürlicher Teil des menschlichen Verhaltens sein kann.","''Krieg ist moralisch verwerflich, daher können Menschen keine angeborenen aggressiven Tendenzen haben.''","relevanz"
162,"Verschieben der Torpfosten","Vom Gegner zu verlangen, dass er immer mehr Punkte anspricht, nachdem das anfängliche Gegenargument befriedigt wurde, und sich weigert, das Argument des Gegners zuzugeben oder zu akzeptieren.","''Zuerst sagten Sie, ich bräuchte einen Abschluss. Jetzt, da ich einen habe, sagen Sie, ich brauche fünf Jahre Erfahrung. Wenn ich das bekomme, werden Sie sagen, ich brauche eine Beförderung.''","relevanz"
163,"Überwältigende Ausnahme","Eine Verallgemeinerung, die technisch korrekt ist, aber so viele Ausnahmen hat, dass sie praktisch bedeutungslos ist.","''Unsere Politik ist es, immer pünktlich zu sein... außer montags, oder wenn es Verkehr gibt, oder wenn ich müde bin, oder wenn es regnet.''","konditional"
164,"Abwinken","Ein Argument als nicht der Überlegung wert abzutun, ohne Beweise oder Begründung zu liefern.","''Ihr Vorschlag, die Strategie unseres Unternehmens zu ändern, ist einfach albern. Wir werden ihn nicht einmal diskutieren.''","relevanz"
165,"Zu viel beweisen","Ein Argument, das, wenn es zu seiner logischen Schlussfolgerung geführt wird, etwas beweisen würde, das der Argumentierende nicht akzeptieren möchte.","''Alle Lebensformen sind heilig und sollten niemals verletzt werden. Daher sollten Sie keine Antibiotika verwenden, um Bakterien zu töten.''","konditional"
166,"Reductio ad Absurdum (in trügerischer Form)","Ein Trugschluss, der versucht, eine Behauptung zu widerlegen, indem er sie zu einer lächerlichen oder absurden Schlussfolgerung erweitert, wobei die Erweiterung nicht logisch gerechtfertigt ist.","''Wenn wir die gleichgeschlechtliche Ehe erlauben, werden die Leute bald ihre Haustiere heiraten wollen!''","konditional"
167,"Retrospektiver Determinismus","Der Trugschluss, dass, weil ein Ereignis eingetreten ist, es unvermeidlich war und geschehen musste.","''Natürlich ist das Römische Reich gefallen. Mit seiner inneren Korruption und dem äußeren Druck musste es passieren.' Dies ignoriert, dass zu der Zeit andere Ergebnisse möglich waren.'","relevanz"
168,"Schrotflinten-Argumentation","Die Taktik, eine große Anzahl von Argumenten zu präsentieren, in der Hoffnung, dass einige davon hängen bleiben, ohne Rücksicht auf ihre Qualität oder Genauigkeit. Ähnlich wie Gish-Galopp.","'In einer Debatte über eine neue Politik listet ein Politiker fünfzig verschiedene Gründe auf, warum sie schlecht ist, ohne auf einen von ihnen näher einzugehen, was es unmöglich macht, sie alle zu widerlegen.'","relevanz"
169,"Dammbruch-Argument (Slippery Slope)","Argumentieren, dass ein einzelner, kleiner Schritt unweigerlich zu einer Kette von verwandten Ereignissen führen wird, die in einem signifikanten (normalerweise negativen) Effekt gipfeln, ohne ausreichende Beweise.","''Wenn wir Marihuana legalisieren, werden alle anfangen, härtere Drogen zu nehmen, und die Kriminalitätsraten werden in die Höhe schnellen.''","konditional"
170,"Sonderbehandlung","Standards, Prinzipien oder Regeln auf andere Personen oder Umstände anzuwenden, während man sich selbst oder die eigenen Umstände von denselben Regeln ohne angemessene Rechtfertigung ausnimmt.","''Ja, ich glaube an die Meinungsfreiheit für alle, aber die Ansichten meines Gegners sind so gefährlich, dass sie auf diesem Campus nicht erlaubt sein sollten.''","konditional"
171,"Spiritueller Trugschluss","Der Trugschluss, spirituelle oder religiöse Überzeugungen zu verwenden, um eine Schlussfolgerung in einem säkularen oder logischen Argument zu rechtfertigen.","''Mein Geschäft wird erfolgreich sein, weil Gott auf meiner Seite ist.''","relevanz"
172,"Unterdrücktes Korrelat","Der Trugschluss, zu versuchen, ein Korrelat (eine von zwei sich gegenseitig ausschließenden Optionen) neu zu definieren, so dass eine Alternative nicht mehr möglich ist.","''Ich bin nicht 'gut' oder 'böse'. Ich bin einfach ich.' Dies versucht, das Konzept des moralischen Urteils zu entfernen.'","konditional"
173,"Tokenismus","Eine kleine, symbolische Geste als angemessenen Ersatz für eine bedeutendere Aktion zu interpretieren.","''Wir können kein sexistisches Unternehmen sein. Wir haben letztes Jahr eine Frau eingestellt.''","relevanz"
174,"Zwei Unrechte ergeben ein Recht","Eine falsche Handlung zu rechtfertigen, indem man auf eine andere falsche Handlung hinweist.","''Er mag den Kongress belogen haben, aber sein Vorgänger hat dasselbe getan.''","relevanz"
175,"Unfalsifizierbarkeit (Unprüfbarkeit)","Eine Behauptung, die nicht als falsch bewiesen werden kann, weil es keine Möglichkeit gibt, sie zu testen.","''In meiner Garage gibt es einen unsichtbaren, nicht nachweisbaren Drachen. Sie können nicht beweisen, dass er nicht da ist!''","konditional"
176,"Sieg durch Definition","Ein Trugschluss, bei dem ein Argumentierender einen Begriff so neu definiert, dass sein Argument per Definition erfolgreich ist, aber nicht auf eine Weise, die für den ursprünglichen Punkt relevant ist.","''Ich bin kein 'Lügner'. Ein 'Lügner' ist jemand, der Unwahrheiten sagt, um Menschen zu verletzen, und ich habe nur versucht, Ihre Gefühle zu schonen.''","formal"
